id_evento,usuario,ip_reputacion,pais_inusual,intentos_login,adjunto_sospechoso,macro_activa,ejecucion_binario,acceso_fuera_horario,volumen_descarga_mb,multiples_hosts,antivirus_alerta
1,maria2,normal,no,3,no,no,no,no,62,no,si
2,adrian3,desconocida,no,1,no,no,no,no,23,no,no
3,miguel4,desconocida,no,3,no,no,si,no,422,no,no
4,alba5,normal,no,3,no,no,no,no,193,no,no
5,ivan6,normal,no,1,no,no,si,no,292,no,no
6,noelia7,desconocida,no,1,no,no,no,no,158,si,si
7,adrian8,normal,no,4,no,no,no,no,199,no,no
8,hugo9,normal,no,2,no,no,no,no,246,no,si
9,beatriz1,normal,no,1,no,no,no,no,171,no,no
10,ines2,desconocida,no,4,no,no,no,si,244,no,no
11,lucia3,desconocida,no,4,no,no,si,no,122,si,no
12,david4,normal,no,1,no,no,no,no,358,no,no
13,pablo5,desconocida,no,1,no,no,no,no,284,no,si
14,elena6,normal,no,2,no,no,no,si,378,no,no
15,paula7,normal,si,3,no,no,si,no,111,no,si
16,laura8,normal,no,4,no,no,no,si,435,no,no
17,lucia9,normal,no,4,no,no,si,si,282,no,no
18,silvia1,normal,no,4,no,no,si,si,396,no,no
19,ana2,desconocida,si,3,no,no,no,no,71,no,no
20,pablo3,normal,no,1,no,no,no,no,127,no,no
21,diego4,normal,no,4,si,si,no,si,185,no,no
22,marta5,desconocida,si,5,si,si,no,si,149,no,si
23,alba6,desconocida,no,2,si,si,no,no,150,si,no
24,beatriz7,normal,si,3,si,si,no,si,237,no,si
25,maria8,normal,si,8,si,si,no,si,717,no,no
26,david9,normal,si,5,si,si,no,no,110,si,si
27,adrian1,desconocida,no,8,si,si,no,si,798,no,no
28,luis2,desconocida,si,4,si,si,si,si,803,no,no
29,elena3,normal,no,6,si,si,no,no,108,no,si
30,irene4,normal,no,7,si,si,no,si,633,si,no
31,laura5,normal,si,6,si,si,no,si,317,si,no
32,irene6,desconocida,si,7,si,si,no,si,819,no,si
33,ivan7,maliciosa,no,1,no,no,si,si,794,no,si
34,raul8,normal,no,2,no,no,si,si,1163,si,si
35,jorge9,maliciosa,si,6,si,no,si,si,299,no,si
36,miguel1,desconocida,si,2,no,si,si,no,620,no,si
37,miguel2,normal,si,4,no,si,si,si,347,no,si
38,raul3,normal,no,5,no,no,si,si,385,no,si
39,carlos4,desconocida,no,2,no,si,si,si,161,no,si
40,laura5,maliciosa,si,1,no,no,si,no,396,no,si
41,marta6,normal,no,2,no,si,si,no,760,no,si
42,laura7,maliciosa,no,2,si,no,si,si,159,no,si
43,carlos8,normal,no,4,no,no,si,no,536,si,si
44,raul9,desconocida,si,1,no,no,si,no,898,no,si
45,nuria1,maliciosa,si,6,si,no,si,no,643,si,no
46,sergio2,maliciosa,si,9,no,no,si,si,621,si,si
47,silvia3,desconocida,si,8,no,no,no,si,355,no,si
48,irene4,maliciosa,si,8,no,si,si,si,876,no,no
49,alberto5,maliciosa,si,9,no,si,si,si,1287,no,si
50,clara6,maliciosa,si,11,si,no,no,no,447,no,si
51,lucia7,maliciosa,si,6,no,no,no,si,507,si,si
52,adrian8,desconocida,si,9,no,no,si,no,1112,no,si
53,beatriz9,desconocida,si,12,no,no,no,si,1160,no,no
54,irene1,desconocida,si,9,si,no,no,si,749,no,no
55,victor2,maliciosa,no,4,no,no,no,si,4246,no,si
56,laura3,normal,no,3,no,no,no,si,2324,si,no
57,marta4,desconocida,si,5,si,no,no,si,1825,no,si
58,noelia5,desconocida,no,4,si,no,no,si,4353,no,no
59,ines6,maliciosa,si,1,no,no,no,si,4852,no,si
60,clara7,maliciosa,no,5,no,no,si,si,3189,si,si
61,clara8,desconocida,no,7,no,no,no,si,1310,no,no
62,pablo9,normal,si,4,si,no,si,si,2752,si,si
63,nuria1,desconocida,si,7,no,no,no,si,4268,no,no
64,jorge2,normal,no,7,no,si,si,si,2212,si,si
65,alberto3,desconocida,si,7,si,si,si,si,3285,si,si
66,victor4,maliciosa,si,12,si,no,si,si,2438,si,si
67,diego5,desconocida,si,8,si,si,si,si,4055,si,si
68,sofia6,maliciosa,si,9,no,si,si,si,3489,si,si
69,nuria7,maliciosa,si,12,no,no,si,si,1836,si,si
70,ana8,maliciosa,si,11,si,si,si,si,4295,si,si
71,hugo9,maliciosa,si,12,si,si,si,si,4467,si,si
72,hugo1,maliciosa,si,11,si,si,si,si,5774,si,si
73,victor2,maliciosa,si,10,si,si,si,si,2055,no,si
74,diego3,maliciosa,si,9,si,si,si,si,1292,no,si
75,beatriz4,maliciosa,si,8,si,si,si,si,2144,si,si
76,alberto5,desconocida,si,8,si,si,si,si,1323,si,si
77,pablo6,maliciosa,si,8,si,si,si,si,458,si,si
78,miguel7,desconocida,si,9,si,si,si,si,834,si,si
79,miguel8,maliciosa,si,8,si,si,si,si,1620,no,si
80,ines9,desconocida,si,10,si,si,si,si,791,si,si
