id_alumno,nota_media,nota_matematicas,nota_programacion,interes_tecnologia,trabaja,horas_estudio_semana
1,7.2,2.7,4.4,si,si,6
2,7.4,8.7,3.1,no,si,3
3,3.6,4.1,6.7,si,no,10
4,5.9,4.4,8.6,si,no,13
5,4.8,4.0,7.8,si,si,15
6,3.6,8.4,6.7,si,no,20
7,3.8,9.0,3.1,no,no,21
8,4.2,3.0,7.1,no,si,10
9,8.6,5.2,5.7,no,si,14
10,5.3,7.2,7.4,si,si,20
11,7.7,3.6,5.2,si,no,4
12,4.5,2.7,4.7,no,si,9
13,8.9,6.5,7.5,si,no,15
14,8.8,7.0,3.5,si,si,20
15,6.5,7.7,5.5,no,no,10
16,9.5,3.5,6.0,si,si,7
17,7.1,8.0,5.5,si,no,15
18,6.9,5.8,4.3,si,si,24
19,8.8,7.8,7.9,no,si,12
20,5.8,5.7,9.2,no,si,19
21,8.9,8.6,4.6,si,si,14
22,8.0,6.3,8.0,si,no,18
23,3.1,9.0,8.7,no,si,4
24,4.6,6.5,3.1,no,si,20
25,8.0,3.4,5.8,si,no,19
26,8.7,5.5,4.0,si,no,15
27,9.5,7.0,5.6,no,si,10
28,4.5,4.9,6.6,si,si,3
29,3.5,6.9,4.1,si,no,5
30,6.3,4.4,5.9,si,no,10
31,8.1,8.2,3.8,si,no,14
32,5.8,5.8,7.6,si,si,15
33,7.7,8.1,3.3,si,si,20
34,5.9,5.5,4.4,si,si,17
35,8.3,8.5,3.2,si,si,10
36,4.1,5.9,4.0,no,si,8
37,5.5,9.4,4.4,no,no,16
38,7.5,7.6,8.0,no,si,9
39,4.9,9.3,6.6,si,no,4
40,3.3,5.8,8.9,si,si,19
41,3.5,3.8,6.7,si,no,6
42,9.1,6.5,6.6,si,si,16
43,7.3,6.5,4.7,no,si,24
44,7.7,4.2,5.3,no,no,13
45,9.0,9.1,2.6,si,si,20
46,4.4,4.4,9.0,si,si,14
47,4.9,5.6,6.3,no,si,24
48,8.3,4.6,7.1,si,no,6
49,8.8,7.7,3.6,no,si,25
50,5.2,7.3,8.5,no,no,4
51,3.6,5.5,4.4,si,no,7
52,7.1,4.3,7.7,no,si,6
53,3.5,8.7,8.8,si,no,21
54,6.6,5.5,2.8,no,si,14
55,4.4,4.2,3.2,no,si,10
56,8.6,9.3,8.2,no,si,8
57,7.8,4.8,9.0,si,no,8
58,8.1,3.3,8.6,no,si,9
59,8.3,5.7,4.6,si,si,3
60,7.3,5.3,4.5,si,no,14
61,7.2,5.3,9.4,no,si,6
62,8.7,4.3,6.6,no,si,6
63,6.9,4.9,8.0,no,si,15
64,8.8,3.8,2.8,no,si,19
65,9.0,6.3,7.5,si,no,16
66,3.5,7.1,4.8,no,si,12
67,6.3,7.2,4.8,no,si,9
68,5.7,9.1,7.2,si,no,15
69,6.6,2.5,4.5,no,no,17
70,5.9,7.2,6.1,si,si,12
71,6.4,6.9,4.8,si,no,10
72,8.2,3.5,2.8,no,si,17
73,5.7,6.9,3.9,no,no,15
74,4.6,7.1,2.5,si,no,10
75,4.1,9.2,6.1,si,si,6
76,6.0,8.1,7.2,no,no,22
77,8.3,8.7,5.5,no,si,18
78,5.9,7.8,8.4,no,no,23
79,4.6,5.6,7.5,si,no,13
80,5.1,6.3,3.5,si,no,25
