============================================================
SIMULACION: IoT + CLOUD + BLOCKCHAIN
Generado: 05/05/2026 16:33
============================================================

HASHES ALMACENADOS EN LA CADENA
------------------------------------------------------------

#1   2026-05-05 00:00  [CORROMPIDO]
     T.Int=20.8C  T.Ext=12.0C  Hum=48.5%
     Hash ant.: 000000000000000000000000000000000000000000000...
     Hash      : CORROMPIDO_fecedc3d4f3347885a0157c17e49121886...

#2   2026-05-05 01:00  [OK]
     T.Int=21.0C  T.Ext=9.3C  Hum=63.2%
     Hash ant.: CORROMPIDO_fecedc3d4f3347885a0157c17e49121886...
     Hash      : 4f9fe979ff12d3d9f25456a532640405c4c835327f980...

#3   2026-05-05 02:00  [OK]
     T.Int=26.3C  T.Ext=8.8C  Hum=61.6%
     Hash ant.: 4f9fe979ff12d3d9f25456a532640405c4c835327f980...
     Hash      : 19c590e39357f014ee5f7641f14807f356ce127c66757...

#4   2026-05-05 03:00  [CORROMPIDO]
     T.Int=18.1C  T.Ext=15.3C  Hum=63.0%
     Hash ant.: 19c590e39357f014ee5f7641f14807f356ce127c66757...
     Hash      : CORROMPIDO_40b13c47084fa5f58b1565e054bebfdd31...

#5   2026-05-05 04:00  [OK]
     T.Int=21.8C  T.Ext=18.0C  Hum=61.0%
     Hash ant.: CORROMPIDO_40b13c47084fa5f58b1565e054bebfdd31...
     Hash      : c435dfb9e57e9e12792d320dbd119c4b43b091468246a...

#6   2026-05-05 05:00  [CORROMPIDO]
     T.Int=18.1C  T.Ext=20.9C  Hum=31.0%
     Hash ant.: c435dfb9e57e9e12792d320dbd119c4b43b091468246a...
     Hash      : CORROMPIDO_ed959dc3019d70e90cc6805fa703617f7a...

#7   2026-05-05 06:00  [OK]
     T.Int=17.2C  T.Ext=18.1C  Hum=58.8%
     Hash ant.: CORROMPIDO_ed959dc3019d70e90cc6805fa703617f7a...
     Hash      : deaf52163c4f70304690c2f1490867cf2fa5d098940b7...

#8   2026-05-05 07:00  [OK]
     T.Int=22.0C  T.Ext=23.0C  Hum=59.1%
     Hash ant.: deaf52163c4f70304690c2f1490867cf2fa5d098940b7...
     Hash      : 7c2b3fa60dc1fd9dfe78f0ccc4872b3fcdbf9619d49b7...

#9   2026-05-05 08:00  [OK]
     T.Int=18.1C  T.Ext=10.2C  Hum=46.6%
     Hash ant.: 7c2b3fa60dc1fd9dfe78f0ccc4872b3fcdbf9619d49b7...
     Hash      : 18eb67de5880ea4641dae2487b80920bcbff08eb0adfd...

#10  2026-05-05 09:00  [CORROMPIDO]
     T.Int=17.6C  T.Ext=16.9C  Hum=72.9%
     Hash ant.: 18eb67de5880ea4641dae2487b80920bcbff08eb0adfd...
     Hash      : CORROMPIDO_bff37da43227e793902b86c859f9807d41...

#11  2026-05-05 10:00  [CORROMPIDO]
     T.Int=26.3C  T.Ext=11.7C  Hum=40.9%
     Hash ant.: CORROMPIDO_bff37da43227e793902b86c859f9807d41...
     Hash      : CORROMPIDO_db0a85375ad3bfb10f7083a49a2cfed6d8...

#12  2026-05-05 11:00  [OK]
     T.Int=21.9C  T.Ext=9.3C  Hum=36.0%
