id,timestamp,temp_interior,temp_exterior,humedad
1,2026-05-05 00:00,20.8,12.0,48.5
2,2026-05-05 01:00,21.0,9.3,63.2
3,2026-05-05 02:00,26.3,8.8,61.6
4,2026-05-05 03:00,18.1,15.3,63.0
5,2026-05-05 04:00,21.8,18.0,61.0
6,2026-05-05 05:00,18.1,20.9,31.0
7,2026-05-05 06:00,17.2,18.1,58.8
8,2026-05-05 07:00,22.0,23.0,59.1
9,2026-05-05 08:00,18.1,10.2,46.6
10,2026-05-05 09:00,17.6,16.9,72.9
11,2026-05-05 10:00,26.3,11.7,40.9
12,2026-05-05 11:00,21.9,9.3,36.0
13,2026-05-05 12:00,27.6,14.6,56.5
14,2026-05-05 13:00,17.3,25.0,68.0
15,2026-05-05 14:00,18.7,8.9,34.3
16,2026-05-05 15:00,24.0,23.5,43.0
17,2026-05-05 16:00,17.3,11.4,40.0
18,2026-05-05 17:00,26.5,19.5,72.8
19,2026-05-05 18:00,27.9,13.3,31.3
20,2026-05-05 19:00,21.2,12.8,34.9
21,2026-05-05 20:00,19.7,6.0,50.3
22,2026-05-05 21:00,20.1,13.8,51.1
23,2026-05-05 22:00,24.5,12.0,37.0
24,2026-05-05 23:00,19.1,9.3,63.5
